F,Tcmp,kappa
[0.3 0.3 0.3 0.3 0.3],0.63,0.001
[0.3 0.3 0.3 0.3 0.3],0.63,0.00100138264419705
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010027672000990757
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010041536703492846
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010055420575945395
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010069323644853632
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010083245936759408
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010097187478241296
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010111148295914613
[0.3 0.3 0.3 0.3 0.3],0.63,0.001012512841643147
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010139127866480835
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010153146672788572
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010167184862117501
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010181242461267453
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010195319497075283
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010209415996414984
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010223531986197697
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010237667493371767
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010251822544922805
[0.3 0.3 0.3 0.3 0.3],0.63,0.001026599716787373
[0.3 0.3 0.3 0.3 0.3],0.63,0.001028019138928482
[0.3 0.3 0.3 0.3 0.3],0.63,0.001029440523625379
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010308638735915777
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010322891915443475
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010337164802047137
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010351457422974636
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010365769805511522
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010380101976981068
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010394453964744329
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010408825796200186
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010423217498785418
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010437629099974701
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010452060627280742
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010466512108254266
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010480983570484096
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010495475041597203
[0.3 0.3 0.3 0.3 0.3],0.63,0.001050998654925875
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010524518121172157
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010539069785079154
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010553641568759797
[0.3 0.3 0.3 0.3 0.3],0.63,0.001056823350003259
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010582845606754477
[0.3 0.3 0.3 0.3 0.3],0.63,0.0010597477916820934
