Tcom,t,p,kappa
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.001
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.00100138264419705
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010027672000990757
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010041536703492846
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010055420575945395
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010069323644853632
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010083245936759408
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010097187478241296
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010111148295914613
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.001012512841643147
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010139127866480835
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010153146672788572
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010167184862117501
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010181242461267453
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010195319497075283
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010209415996414984
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010223531986197697
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010237667493371767
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010251822544922805
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.001026599716787373
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.001028019138928482
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.001029440523625379
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010308638735915777
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010322891915443475
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010337164802047137
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010351457422974636
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010365769805511522
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010380101976981068
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010394453964744329
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010408825796200186
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010423217498785418
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010437629099974701
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010452060627280742
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010466512108254266
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010480983570484096
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010495475041597203
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.001050998654925875
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010524518121172157
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010539069785079154
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010553641568759797
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.001056823350003259
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010582845606754477
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.0010597477916820934
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.001061213045816599
2.859128339665616,[0.10334897 0.02884122 0.12967747 1.67425474 0.92300594],[0.2 0.2 0.2 0.2 0.2],0.001062680325876231
